product_type;mission;level;origin_level;instrument;mode;type;groups;published_by;consumed_by
S1_RAW__0S;S1;L0_;L0_;SAR;SM;RAW;PRODUCT|L0;_|PRIP|LTA|DA|DHUS;_|_|LTA|DA
S2_RAW__0S;S1;L0_;L0_;SAR;SM;RAW;PRODUCT|L0;_|PRIP|LTA|DA|DHUS;_|_|LTA|DA
S3_RAW__0S;S1;L0_;L0_;SAR;SM;RAW;PRODUCT|L0;_|PRIP|LTA|DA|DHUS;_|_|LTA|DA
S4_RAW__0S;S1;L0_;L0_;SAR;SM;RAW;PRODUCT|L0;_|PRIP|LTA|DA|DHUS;_|_|LTA|DA
S5_RAW__0S;S1;L0_;L0_;SAR;SM;RAW;PRODUCT|L0;_|PRIP|LTA|DA|DHUS;_|_|LTA|DA
S6_RAW__0S;S1;L0_;L0_;SAR;SM;RAW;PRODUCT|L0;_|PRIP|LTA|DA|DHUS;_|_|LTA|DA
S1_RAW__0C;S1;L0_;L0_;SAR;SM;RAW;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
S2_RAW__0C;S1;L0_;L0_;SAR;SM;RAW;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
S3_RAW__0C;S1;L0_;L0_;SAR;SM;RAW;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
S4_RAW__0C;S1;L0_;L0_;SAR;SM;RAW;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
S5_RAW__0C;S1;L0_;L0_;SAR;SM;RAW;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
S6_RAW__0C;S1;L0_;L0_;SAR;SM;RAW;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
S1_RAW__0N;S1;L0_;L0_;SAR;SM;RAW;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
S2_RAW__0N;S1;L0_;L0_;SAR;SM;RAW;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
S3_RAW__0N;S1;L0_;L0_;SAR;SM;RAW;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
S4_RAW__0N;S1;L0_;L0_;SAR;SM;RAW;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
S5_RAW__0N;S1;L0_;L0_;SAR;SM;RAW;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
S6_RAW__0N;S1;L0_;L0_;SAR;SM;RAW;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
S1_RAW__0A;S1;L0_;L0_;SAR;SM;RAW;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
S2_RAW__0A;S1;L0_;L0_;SAR;SM;RAW;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
S3_RAW__0A;S1;L0_;L0_;SAR;SM;RAW;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
S4_RAW__0A;S1;L0_;L0_;SAR;SM;RAW;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
S5_RAW__0A;S1;L0_;L0_;SAR;SM;RAW;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
S6_RAW__0A;S1;L0_;L0_;SAR;SM;RAW;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
S1_SLC__1S;S1;L1_;L1_;SAR;SM;SLC;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
S2_SLC__1S;S1;L1_;L1_;SAR;SM;SLC;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
S3_SLC__1S;S1;L1_;L1_;SAR;SM;SLC;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
S4_SLC__1S;S1;L1_;L1_;SAR;SM;SLC;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
S5_SLC__1S;S1;L1_;L1_;SAR;SM;SLC;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
S6_SLC__1S;S1;L1_;L1_;SAR;SM;SLC;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
S1_SLC__1A;S1;L1_;L1_;SAR;SM;SLC;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
S2_SLC__1A;S1;L1_;L1_;SAR;SM;SLC;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
S3_SLC__1A;S1;L1_;L1_;SAR;SM;SLC;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
S4_SLC__1A;S1;L1_;L1_;SAR;SM;SLC;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
S5_SLC__1A;S1;L1_;L1_;SAR;SM;SLC;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
S6_SLC__1A;S1;L1_;L1_;SAR;SM;SLC;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
S1_GRDF_1S;S1;L1_;L1_;SAR;SM;GRD;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
S2_GRDF_1S;S1;L1_;L1_;SAR;SM;GRD;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
S3_GRDF_1S;S1;L1_;L1_;SAR;SM;GRD;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
S4_GRDF_1S;S1;L1_;L1_;SAR;SM;GRD;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
S5_GRDF_1S;S1;L1_;L1_;SAR;SM;GRD;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
S6_GRDF_1S;S1;L1_;L1_;SAR;SM;GRD;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
S1_GRDF_1A;S1;L1_;L1_;SAR;SM;GRD;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
S2_GRDF_1A;S1;L1_;L1_;SAR;SM;GRD;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
S3_GRDF_1A;S1;L1_;L1_;SAR;SM;GRD;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
S4_GRDF_1A;S1;L1_;L1_;SAR;SM;GRD;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
S5_GRDF_1A;S1;L1_;L1_;SAR;SM;GRD;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
S6_GRDF_1A;S1;L1_;L1_;SAR;SM;GRD;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
S1_GRDH_1S;S1;L1_;L1_;SAR;SM;GRD;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
S2_GRDH_1S;S1;L1_;L1_;SAR;SM;GRD;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
S3_GRDH_1S;S1;L1_;L1_;SAR;SM;GRD;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
S4_GRDH_1S;S1;L1_;L1_;SAR;SM;GRD;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
S5_GRDH_1S;S1;L1_;L1_;SAR;SM;GRD;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
S6_GRDH_1S;S1;L1_;L1_;SAR;SM;GRD;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
S1_GRDH_1A;S1;L1_;L1_;SAR;SM;GRD;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
S2_GRDH_1A;S1;L1_;L1_;SAR;SM;GRD;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
S3_GRDH_1A;S1;L1_;L1_;SAR;SM;GRD;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
S4_GRDH_1A;S1;L1_;L1_;SAR;SM;GRD;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
S5_GRDH_1A;S1;L1_;L1_;SAR;SM;GRD;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
S6_GRDH_1A;S1;L1_;L1_;SAR;SM;GRD;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
S1_GRDM_1S;S1;L1_;L1_;SAR;SM;GRD;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
S2_GRDM_1S;S1;L1_;L1_;SAR;SM;GRD;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
S3_GRDM_1S;S1;L1_;L1_;SAR;SM;GRD;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
S4_GRDM_1S;S1;L1_;L1_;SAR;SM;GRD;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
S5_GRDM_1S;S1;L1_;L1_;SAR;SM;GRD;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
S6_GRDM_1S;S1;L1_;L1_;SAR;SM;GRD;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
S1_GRDM_1A;S1;L1_;L1_;SAR;SM;GRD;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
S2_GRDM_1A;S1;L1_;L1_;SAR;SM;GRD;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
S3_GRDM_1A;S1;L1_;L1_;SAR;SM;GRD;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
S4_GRDM_1A;S1;L1_;L1_;SAR;SM;GRD;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
S5_GRDM_1A;S1;L1_;L1_;SAR;SM;GRD;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
S6_GRDM_1A;S1;L1_;L1_;SAR;SM;GRD;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
S1_OCN__2S;S1;L2_;L2_;SAR;SM;OCN;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
S2_OCN__2S;S1;L2_;L2_;SAR;SM;OCN;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
S3_OCN__2S;S1;L2_;L2_;SAR;SM;OCN;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
S4_OCN__2S;S1;L2_;L2_;SAR;SM;OCN;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
S5_OCN__2S;S1;L2_;L2_;SAR;SM;OCN;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
S6_OCN__2S;S1;L2_;L2_;SAR;SM;OCN;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
S1_OCN__2A;S1;L2_;L2_;SAR;SM;OCN;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
S2_OCN__2A;S1;L2_;L2_;SAR;SM;OCN;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
S3_OCN__2A;S1;L2_;L2_;SAR;SM;OCN;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
S4_OCN__2A;S1;L2_;L2_;SAR;SM;OCN;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
S5_OCN__2A;S1;L2_;L2_;SAR;SM;OCN;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
S6_OCN__2A;S1;L2_;L2_;SAR;SM;OCN;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
IW_RAW__0S;S1;L0_;L0_;SAR;IW;RAW;PRODUCT|L0;_|PRIP|LTA|DA|DHUS;_|_|LTA|DA
IW_RAW__0C;S1;L0_;L0_;SAR;IW;RAW;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
IW_RAW__0N;S1;L0_;L0_;SAR;IW;RAW;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
IW_RAW__0A;S1;L0_;L0_;SAR;IW;RAW;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
IW_SLC__1S;S1;L1_;L1_;SAR;IW;SLC;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
IW_SLC__1A;S1;L1_;L1_;SAR;IW;SLC;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
IW_GRDH_1S;S1;L1_;L1_;SAR;IW;GRD;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
IW_GRDH_1A;S1;L1_;L1_;SAR;IW;GRD;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
IW_GRDM_1S;S1;L1_;L1_;SAR;IW;GRD;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
IW_GRDM_1A;S1;L1_;L1_;SAR;IW;GRD;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
IW_OCN__2S;S1;L2_;L2_;SAR;IW;OCN;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
IW_OCN__2A;S1;L2_;L2_;SAR;IW;OCN;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
EW_RAW__0S;S1;L0_;L0_;SAR;EW;RAW;PRODUCT|L0;_|PRIP|LTA|DA|DHUS;_|_|LTA|DA
EW_RAW__0C;S1;L0_;L0_;SAR;EW;RAW;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
EW_RAW__0N;S1;L0_;L0_;SAR;EW;RAW;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
EW_RAW__0A;S1;L0_;L0_;SAR;EW;RAW;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
EW_SLC__1S;S1;L1_;L1_;SAR;EW;SLC;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
EW_SLC__1A;S1;L1_;L1_;SAR;EW;SLC;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
EW_GRDH_1S;S1;L1_;L1_;SAR;EW;GRD;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
EW_GRDH_1A;S1;L1_;L1_;SAR;EW;GRD;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
EW_GRDM_1S;S1;L1_;L1_;SAR;EW;GRD;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
EW_GRDM_1A;S1;L1_;L1_;SAR;EW;GRD;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
EW_OCN__2S;S1;L2_;L2_;SAR;EW;OCN;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
EW_OCN__2A;S1;L2_;L2_;SAR;EW;OCN;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
WV_RAW__0S;S1;L0_;L0_;SAR;WV;RAW;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
WV_RAW__0C;S1;L0_;L0_;SAR;WV;RAW;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
WV_RAW__0N;S1;L0_;L0_;SAR;WV;RAW;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
